,ID,SMILES,graph_file
67,pubchem:3370,CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)O,graph_pubchem:3370
68,pubchem:3371,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,graph_pubchem:3371
69,pubchem:3372,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,graph_pubchem:3372
70,pubchem:3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,graph_pubchem:3373
71,pubchem:3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,graph_pubchem:3374
72,pubchem:3375,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F,graph_pubchem:3375
73,pubchem:3376,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C(C)(C)C)O)C)O)F)C)F,graph_pubchem:3376
74,pubchem:3377,C1C[NH+](CC[NH+]1CC=CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,graph_pubchem:3377
75,pubchem:3378,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,graph_pubchem:3378
76,pubchem:3379,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,graph_pubchem:3379
77,pubchem:3380,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,graph_pubchem:3380
78,pubchem:3381,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C,graph_pubchem:3381
79,pubchem:3382,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C,graph_pubchem:3382
80,pubchem:3383,C1=CC=C(C(=C1)C2=C3C=CC(=O)C=C3OC4=C2C=CC(=C4)O)C(=O)O,graph_pubchem:3383
81,pubchem:3384,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,graph_pubchem:3384
82,pubchem:3385,C1=C(C(=O)NC(=O)N1)F,graph_pubchem:3385
83,pubchem:3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,graph_pubchem:3386
84,pubchem:3387,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C)O)C)O)F,graph_pubchem:3387
85,pubchem:3388,CCCCCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,graph_pubchem:3388
86,pubchem:3389,CCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,graph_pubchem:3389
87,pubchem:3390,CC12CC(C3C(C1CCC2(C(=O)CO)O)CC(C4=CC(=O)C=CC34C)F)O,graph_pubchem:3390
88,pubchem:3391,C1C(C(C(C1O)C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)CC=CCCCC(=O)O)O,graph_pubchem:3391
89,pubchem:3392,CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,graph_pubchem:3392
90,pubchem:3393,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,graph_pubchem:3393
91,pubchem:3394,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,graph_pubchem:3394
92,pubchem:3395,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)OC(C)OC(=O)C,graph_pubchem:3395
93,pubchem:3396,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,graph_pubchem:3396
94,pubchem:3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,graph_pubchem:3397
95,pubchem:3398,C1COC2(N1CC(=O)N(C3=C2C=C(C=C3)Cl)CCO)C4=CC=CC=C4F,graph_pubchem:3398
96,pubchem:3399,CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF,graph_pubchem:3399
97,pubchem:3400,C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4F,graph_pubchem:3400
98,pubchem:3401,C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)(C3=CC=CC=C3F)N4C=CN=C4,graph_pubchem:3401
99,pubchem:3402,C[N+]1(C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)CCF,graph_pubchem:3402
100,pubchem:3403,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,graph_pubchem:3403
101,pubchem:3404,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,graph_pubchem:3404
102,pubchem:3405,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,graph_pubchem:3405
103,pubchem:3406,CC1=CNN=C1,graph_pubchem:3406
104,pubchem:3407,CN(CC1=C(C=CC=C1Cl)NC(=O)C2=CC=CC=C2)CC(=O)N3CCOCC3,graph_pubchem:3407
105,pubchem:3408,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O,graph_pubchem:3408
106,pubchem:3409,COC1=CC=C(C=C1)C2=COC3=CC(=O)C=CC3=C2O,graph_pubchem:3409
107,pubchem:3410,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,graph_pubchem:3410
108,pubchem:3411,C1=NC(=O)C2=NNC(=C2N1)C3C(C(C(O3)CO)O)O,graph_pubchem:3411
109,pubchem:3412,CC(=O)NC(CCCN(C=O)O)C(=O)NC(CO)C(=O)N(CCCC1C(=O)NC(C(=O)N1)CCCN(C=O)O)O,graph_pubchem:3412
110,pubchem:3413,CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O,graph_pubchem:3413
111,pubchem:3414,C(=O)([O-])P(=O)([O-])[O-],graph_pubchem:3414
112,pubchem:3416,CCC(=C(CC)C1=CC=C(C=C1)OP(=O)(O)O)C2=CC=C(C=C2)OP(=O)(O)O,graph_pubchem:3416
113,pubchem:3417,CC1C(O1)P(=O)(O)O,graph_pubchem:3417
114,pubchem:3418,C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O,graph_pubchem:3418
115,pubchem:3419,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3,graph_pubchem:3419
116,pubchem:3420,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)O)C3CCCCC3,graph_pubchem:3420
117,pubchem:3421,CC1C(O1)P(=O)([O-])[O-],graph_pubchem:3421
118,pubchem:3422,CC(C=CC1CC=CC(=O)O1)(C(CC(C=CC=CC=CCO)O)OP(=O)(O)O)O,graph_pubchem:3422
119,pubchem:3423,CC1=C(C(=C(N1)C)C(=O)OC)C(=O)C2=CC=CC=C2CC3=CC=CC=C3,graph_pubchem:3423
120,pubchem:3424,CC1=C(NC(=C1C(=O)C2=CC=CC=C2CC3=CC=CC=C3)C)C,graph_pubchem:3424
121,pubchem:3425,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,graph_pubchem:3425
122,pubchem:3426,C1C(C(C(C(O1)(CO)O)O)O)O,graph_pubchem:3426
123,pubchem:3427,CC(=CCCC(=CCCC(=CCSC1=NC=NN1)C)C)C,graph_pubchem:3427
124,pubchem:3428,C(CC(CNCCCNCCCN)N)CN=C(N)N,graph_pubchem:3428
125,pubchem:3429,CC(C(C(C(CO)O)O)O)O,graph_pubchem:3429
126,pubchem:3430,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC=CC=CC=CC(=O)O)OC)C,graph_pubchem:3430
127,pubchem:3431,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,graph_pubchem:3431
128,pubchem:3432,CCCCC(C)C(C(CC(C)CCCCCCC(CC(C(C)N)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,graph_pubchem:3432
129,pubchem:3433,CC1=NC2=C(N1)C(=O)N(C(=O)N2CC3=CC=CO3)C,graph_pubchem:3433
130,pubchem:3434,C1COCCN1CC2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-],graph_pubchem:3434
131,pubchem:3435,C1COC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],graph_pubchem:3435
132,pubchem:3436,C1=CC(=CN=C1)CC2=CC3=C(C=C2)OC(=C3)C(=O)[O-],graph_pubchem:3436
133,pubchem:3437,C1=CC(=CN=C1)CC2=CC3=C(C=C2)OC(=C3)C(=O)O,graph_pubchem:3437
134,pubchem:3438,C1=COC(=C1)CN,graph_pubchem:3438
135,pubchem:3439,CN(CC1=COC2=NC(=NC(=C12)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,graph_pubchem:3439
136,pubchem:3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,graph_pubchem:3440
